Model,Descriptors,n_bits,ROC AUC test,ROC AUC val
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.8955,0.8938
svc,"['rdkit', 'morgan']",512,0.8652,0.8729
rf,['maccs'],512,0.8909,0.8783
rf,['mordred'],512,0.8699,0.8705
rf,"['morgan', 'maccs']",512,0.8787,0.8749
rf,"['morgan','mordred']",512,0.8694,0.87
rf,['morgan'],512,0.8798,0.904
rf,"['rdkit', 'maccs']",512,0.8737,0.867
rf,"['rdkit', 'mordred']",512,0.8728,0.8745
rf,"['rdkit', 'morgan','mordred', 'maccs']",512,0.8448,0.8375
rf,"['rdkit', 'morgan']",512,0.8668,0.8624
rf,['rdkit'],512,0.8673,0.8541
lr,['maccs'],512,0.8332,0.8388
lr,['mordred'],512,0.8628,0.8562
lr,"['morgan', 'maccs']",512,0.8824,0.8943
lr,"['morgan','mordred']",512,0.8656,0.8690000000000001
lr,['morgan'],512,0.8815,0.8878
lr,"['rdkit', 'maccs']",512,0.8591,0.8709
lr,"['rdkit', 'mordred']",512,0.8094,0.8224
lr,"['rdkit', 'morgan','mordred', 'maccs']",512,0.8909999999999999,0.8819
lr,"['rdkit', 'morgan']",512,0.8727,0.8881
lr,['rdkit'],512,0.8287,0.853
knn,['maccs'],512,0.8751,0.8606
knn,['mordred'],512,0.8574,0.8664
knn,"['morgan', 'maccs']",512,0.8847,0.8456
knn,"['morgan','mordred']",512,0.8734,0.8781
knn,['morgan'],512,0.862,0.8678
knn,"['rdkit', 'maccs']",512,0.8849,0.882
knn,"['rdkit', 'mordred']",512,0.8608,0.8487
knn,"['rdkit', 'morgan','mordred', 'maccs']",512,0.8749,0.8474
knn,"['rdkit', 'morgan']",512,0.8642,0.8466
knn,['rdkit'],512,0.8562,0.8756
rf,['maccs'],1024,0.8883,0.8771
rf,['mordred'],1024,0.8378,0.8393
rf,"['morgan', 'maccs']",1024,0.8732,0.8886
rf,"['morgan','mordred']",1024,0.8167,0.8197
rf,['morgan'],1024,0.8921,0.9003
rf,"['rdkit', 'maccs']",1024,0.8732,0.8636
rf,"['rdkit', 'mordred']",1024,0.8444,0.8363
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.8602,0.8107
rf,"['rdkit', 'morgan']",1024,0.8682,0.8675
rf,['rdkit'],1024,0.8702,0.8643
lr,['maccs'],1024,0.8332,0.8388
lr,['mordred'],1024,0.8626,0.857
lr,"['morgan', 'maccs']",1024,0.9007,0.904
lr,"['morgan','mordred']",1024,0.8416,0.8545
lr,['morgan'],1024,0.8699,0.9046
lr,"['rdkit', 'maccs']",1024,0.8591,0.8709
lr,"['rdkit', 'mordred']",1024,0.8096,0.8224
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.9009,0.8898
lr,"['rdkit', 'morgan']",1024,0.8822,0.9062
lr,['rdkit'],1024,0.8287,0.853
knn,['maccs'],1024,0.8751,0.8606
knn,['mordred'],1024,0.8574,0.8664
xgb,"['morgan', 'maccs']",1024,0.9104,0.9009
xgb,"['morgan','mordred']",1024,0.8791,0.89
xgb,['morgan'],1024,0.9037,0.9051
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.8690000000000001,0.8856
xgb,"['rdkit', 'morgan']",1024,0.8704,0.8829
svc,"['morgan', 'maccs']",1024,0.8817,0.8837
svc,"['morgan','mordred']",1024,0.8935,0.8911
svc,['morgan'],1024,0.8914,0.9062
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.8876,0.8861
svc,"['rdkit', 'morgan']",1024,0.8718,0.8905
svc,"['morgan', 'maccs']",1024,0.9047,0.9001
svc,"['morgan','mordred']",1024,0.8749,0.8802
svc,['morgan'],1024,0.8915,0.9068
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.9033,0.8987
svc,"['rdkit', 'morgan']",1024,0.8708,0.8831
svc,"['morgan', 'maccs']",1024,0.9047,0.8999
svc,"['morgan','mordred']",1024,0.8749,0.8802
svc,['morgan'],1024,0.8915,0.9068
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.9033,0.8987
svc,"['rdkit', 'morgan']",1024,0.8708,0.8832
rf,['maccs'],1024,0.8883,0.8771
rf,['mordred'],1024,0.8378,0.8393
rf,"['morgan', 'maccs']",1024,0.8732,0.8886
rf,"['morgan','mordred']",1024,0.8167,0.8197
