Model,Descriptors,n_bits,ROC AUC,ROC AUC val
lr,['morgan'],1024,0.7077,0.9028
lr,"['morgan', 'maccs']",1024,0.7814,0.6412
lr,"['morgan','mordred']",1024,0.7919,0.9091
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.6909,0.6424
knn,"['rdkit', 'morgan']",1024,0.7833,0.6578
knn,['morgan'],1024,0.6574,0.5343
knn,"['morgan', 'maccs']",1024,0.648,0.5581
knn,"['morgan','mordred']",1024,0.6536,0.747
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.8341,0.8993
xgb,"['rdkit', 'morgan']",2048,0.7678,0.7476
xgb,['morgan'],2048,0.8415,0.7493
xgb,"['morgan', 'maccs']",2048,0.8189,0.8692
xgb,"['morgan','mordred']",2048,0.7656,0.7045
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.8659,0.9264
svc,"['rdkit', 'morgan']",2048,0.7008,0.8208
svc,['morgan'],2048,0.6469,0.823
svc,"['morgan', 'maccs']",2048,0.8655,0.867
svc,"['morgan','mordred']",2048,0.7799,0.9218
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.85,0.8152
rf,"['rdkit', 'morgan']",2048,0.7447,0.6705
rf,['morgan'],2048,0.7821,0.7336
rf,"['morgan', 'maccs']",2048,0.8114,0.7664
rf,"['morgan','mordred']",2048,0.7288,0.7023
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.8061,0.6499
lr,"['rdkit', 'morgan']",2048,0.7606,0.6826
lr,['morgan'],2048,0.7393,0.8856
lr,"['morgan', 'maccs']",2048,0.7836,0.6479
lr,"['morgan','mordred']",2048,0.8062,0.8614
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.6864,0.7412
knn,"['rdkit', 'morgan']",2048,0.6136,0.6183
knn,['morgan'],2048,0.6168,0.5827
knn,"['morgan', 'maccs']",2048,0.5436,0.6006
knn,"['morgan','mordred']",2048,0.6416,0.7463
